PatentNo	Cited Patent No
6538589	5870048
6962436	5870048
6956411	5870048
6954159	5870048
6930495	5870048
6869216	5870048
6873281	5870048
6927717	5870048
6750796	5870048
6836228	5870048
6429797	5870048
6411242	5870048
6184812	5870048
6249236	5870048
6323794	5870048
5940019	5870048
6309993	5872071
6319486	5876690
6346140	5876690
6497857	5876690
6846546	5876690
6949238	5876690
6617107	5876942
6407872	5886806
6406957	5893740
6413823	5893740
6400002	5893740
6482691	5893740
6470488	5893740
6475852	5893740
6472260	5893740
6335234	5893740
6335246	5893740
6344382	5893740
6232642	5893740
6221724	5893740
6174778	5893740
6180464	5893740
6198141	5893740
5963811	5893740
6590230	5893740
6653687	5893740
6673663	5893740
6734108	5893740
6686623	5893740
6897526	5893740
6867085	5893740
6828624	5893741
6522001	5893741
5970352	5893741
6091117	5893741
6110786	5893741
6300180	5893741
6436805	5893741
6372649	5893741
6356137	5898333
5973514	5898333
6917221	5898333
6618409	5903047
6146928	5903047
6407872	5907423
6813050	5907423
6380601	5911839
6399205	5912093
6458875	5912093
6159639	5912093
6093451	5912093
6077897	5912093
6589383	5912093
6576372	5912093
6255183	5913123
6216415	5913794
6376750	5917029
6413388	5922091
6413403	5922091
6354916	5922091
6482307	5922091
6478936	5922091
6497800	5922091
6300249	5922091
6030425	5922091
6620037	5922091
6612915	5922091
6610190	5922091
6530967	5922091
6506682	5922091
6695962	5922091
6802946	5922091
6866763	5922091
6746314	5922091
6800218	5922091
6773576	5922091
6930054	5922091
6953389	5922091
6942780	5922091
6780251	5926615
6753272	5926615
6576064	5926615
6091889	5926615
6188044	5926615
6462595	5930322
6130564	5930322
6696857	5930322
6737900	5930322
6286022	5931894
6362338	5932584
6946470	5932584
6964932	5935705
6774432	5935705
6835956	5935705
6711191	5935705
6632477	5935705
6330279	5936457
6886973	5941063
6876010	5943560
6881632	5943560
6921914	5943560
6956235	5943560
6933518	5943560
6940089	5943560
6864115	5943560
6828587	5943560
6787807	5943560
6737670	5943560
6750130	5943560
